"","Gene","X.x","Pvalue.Gain.R","Diff.Gain.R","CV.Gain.R","Pvalue.Loss.R","Diff.Loss.R","CV.Loss.R","Pvalue.GainvLoss.R","Diff.GainvLoss.R","X.y","Pvalue.Gain","Diff.Gain","CV.Gain","Pvalue.Loss","Diff.Loss","CV.Loss","Pvalue.GainvLoss","Diff.GainvLoss","Three.Protein.Gain.x","Three.Protein.Loss.x","Three.RNA.Gain","Three.RNA.Loss.x","Uniprot_Acc","Three.RNA.Loss.y","Three.Protein.Gain.y","Three.Protein.Loss.y","RNA_ID.All","Variance.noAn","Variance.Mean.noAn","Variance.All","St.Dev.noAn","St.Dev.All","Chrm.Num.Arm","Acetylation.Var1","Acetylation.Freq","Methylation.Var1","Methylation.Freq","Phosphorylation.Var1","Phosphorylation.Freq","ubiquitination.Var1","ubiquitination.Freq","Sumoylation.Var1","Sumoylation.Freq","regulatory.Var1","regulatory.Freq","gene.CORUM.complex.subunits2","gene.Freq","PPI.Freq.x","PPI.Freq.y","PPI.Freq","log2.CoeffVar.RNA","log2.Protein.CoeffVar","Gene_Name","AmplificationRatio","EnsembleID","m","bm","bp","lp","lm","p","Mean_HalfLife","Intrinsic_Disorder_MobiBD","Intrinsic_Disorder_LowComplexity","Loops.in.Protein.ANCHOR.","Intrinsic_Disorder_Polarity","Intrinsic_Disorder_Polyampholyte","Intrinsic_Disorder_homology","Rate_3","Uniprot.ID","Aggregation.score","Dependency.Score","Gene.names","Non.exponential.decay.delta","Degradation.profile","Mutations.Var1","Mutations.Freq","mutations.FrameShift.Var1","mutations.FrameShift.Freq","mutations.nonsense.missense.Var1","mutations.nonsense.missense.Freq"
"15","ACAD10",52,0.0268878540628925,0.113260580731629,-0.605852660381978,2.11451209071085e-06,-0.257901326999244,-0.224416407987789,1.80033892877666e-08,0.371161907730872,61,0.00740955446339349,0.215277087401492,0.425998126782122,0.245407160231338,-0.106771399584982,-0.80485166629769,0.00128093579214806,0.322048486986475,"Buffering","Buffering","Buffering","Scaling","Q6JQN1-5","Scaling","Buffering","Buffering","ACAD10..80724.",0.317483729,0.083442859,0.346723673,0.563456945,0.588832466,"12q",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,16,16,-3.583067593,3.294826876,"ACAD10",0,NA,NA,NA,NA,NA,NA,NA,53.9315,NA,NA,NA,NA,NA,NA,NA,"acd10_human","-",-0.000807546,NA,NA,NA,"ACAD10",28,NA,0,"ACAD10",21
"16","ACAD8",53,0.00617680800563897,0.222682587315597,0.522228978131801,1.59049259555697e-08,-0.345743231232052,0.744759695891061,1.54465637080642e-09,0.56842581854765,63,0.0956161516209153,0.149409723175618,0.919301836809857,0.000589865671918327,-0.229081084301734,-0.180946709077947,0.00012859182679199,0.378490807477352,"Buffering","Buffering","Buffering","Scaling","Q9UKU7","Scaling","Scaling","Buffering","ACAD8..27034.",0.4657585,0.1077608,0.5678877,0.682465,0.7535833,"11q","Q9UKU7",5,NA,0,"Q9UKU7",3,"Q9UKU7",8,NA,0,NA,0,"Q9UKU7",1,0,21,21,-3.214096,3.312117,"ACAD8",0,"ENSG00000151498",0.4947087,-0.7213707,2.798752,2.618048,4.092054,4.581597,164.9703,NA,NA,NA,NA,NA,378,NA,"acad8_human","-0.33",0.211659706,NA,NA,NA,"ACAD8",10,NA,0,"ACAD8",6
"17","ACADS",55,0.290920473602513,0.0938439838692305,-1.15602168387133,0.00102177968715899,-0.240291223576256,-0.332101218157642,0.000999336586441179,0.334135207445487,66,0.104478232872466,0.186714485596962,1.37763905746735,0.000677306944648165,-0.33938739412259,-0.346227242533474,0.000140909952268481,0.526101879719552,"Buffering","Scaling","Buffering","Buffering","P16219","Scaling","Scaling","Buffering","ACADS..35.",0.89142229,0.295327886,0.950688545,0.944151625,0.975032587,"12q","P16219",3,NA,0,"P16219",4,"P16219",1,NA,0,NA,0,NA,0,2,7,9,-1.759610508,3.84914437,"ACADS",0,"ENSG00000122971",0.100043615,-1.116035775,3.196692385,2.614897216,4.154545692,4.584872358,202.229,NA,35,NA,NA,NA,371,0.075,"acads_human","-0.34",-0.15800446,NA,NA,NA,"ACADS",9,NA,0,"ACADS",5
"18","ACAT1",57,0.00121792424792074,0.297816374563947,-0.472800595287175,4.49846126511481e-06,-0.407269656775605,-0.220911370517127,1.01448136633406e-09,0.705086031339552,72,0.00974723524423897,0.242292675418585,0.51281790069623,8.38642231516263e-05,-0.34341476970838,-0.24774185987445,4.62762548872946e-07,0.585707445126965,"Buffering","Scaling","Scaling","Scaling","P24752","Scaling","Buffering","Scaling","ACAT1..38.",0.429903413,0.07136012,0.636306434,0.655670201,0.797688181,"11q","P24752",13,NA,0,"P24752",14,"P24752",4,NA,0,"P24752",1,NA,0,4,43,47,-3.808738154,2.165313927,"ACAT1",0.005405405,"ENSG00000075239",1.351082038,0.135002648,3.222581723,2.630427875,4.41931126,5.861800119,389.170375,NA,12,NA,NA,NA,385,-0.008,"thil_human","-",0.157867242,"ACAT1",0.209090158,"NED","ACAT1",5,NA,0,"ACAT1",3
"19","ACO1",62,0.000534640258112623,0.246135609278694,-0.220880363630116,1.9628346742577e-16,-0.521743584432222,-0.181414024891832,2.00917453752551e-20,0.767879193710916,81,0.0833213706661445,0.119736274347668,0.420679262184681,2.24047793947433e-05,-0.230729321099878,-0.571537009957399,6.8189774082254e-06,0.350465595447546,"Buffering","Buffering","Buffering","Scaling","P21399","Buffering","Buffering","Buffering","ACO1..48.",0.908003503,0.215794852,0.923893865,0.952892178,0.961193979,"9p",NA,0,"P21399",4,"P21399",17,"P21399",27,NA,0,"P21399",2,NA,0,8,14,22,-2.212267647,4.166719788,"ACO1",0,"ENSG00000122729",1.367584341,0.151504951,3.056522898,2.948901761,4.83372069,5.712243597,233.2085,NA,38,2,NA,NA,761,0.071,"acoc_human","-0.36",0.130868298,NA,NA,NA,"ACO1",19,"ACO1",1,"ACO1",13
"20","ACOX3",66,0.0125951334101991,0.32311968845761,1.16397462837695,6.38222913171982e-22,-0.621738133109121,-0.507919426391629,3.13830618668476e-09,0.944857821566731,91,0.122638114885532,0.262789449486275,0.798381038906742,4.67455519800194e-05,-0.31498838622063,-0.435938596343014,0.00309552102458585,0.577777835706905,"Scaling","Scaling","Scaling","Scaling","O15254","Scaling","Scaling","Buffering","ACOX3..8310.",0.33709157,0.105181687,0.419532831,0.580595875,0.647713541,"4p",NA,0,NA,0,"O15254",7,"O15254",6,NA,0,NA,0,NA,0,4,4,8,-3.249044557,5.214501163,"ACOX3",0,"ENSG00000087008",0.58711239,-0.628967001,3.098476783,2.84509804,4.870526801,4.973725531,80.64742857,NA,NA,3,NA,NA,289,NA,"acox3_human","-0.44",-0.042921447,NA,NA,NA,"ACOX3",29,NA,0,"ACOX3",15
"21","ACSL3",70,0.593305793463086,-0.0438701388888889,-0.223958503077776,0.00934218949753503,-0.32180875,-0.231770674619786,0.0437151117820382,0.277938611111111,100,0.974214568004699,0.00205030436377534,0.76349081189564,0.852565102387286,-0.0124080756738527,0.957420629377363,0.866233249478393,0.0144583800376281,"Buffering","Buffering","Buffering","Scaling","O95573","Buffering","Buffering","Buffering","ACSL3..2181.",0.780194955,0.123613311,0.729965308,0.883286451,0.854380072,"2q","O95573",5,NA,0,"O95573",12,"O95573",27,NA,0,NA,0,NA,0,7,46,53,-3.016093992,3.218119607,"ACSL3",0.002702703,"ENSG00000123983",1.650355332,0.434275941,2.706486686,2.857332496,4.91641973,5.644978376,65.21788889,NA,NA,13,NA,NA,480,0.221,"acsl3_human","-0.27",-0.459639397,NA,NA,NA,"ACSL3",10,NA,0,"ACSL3",4
"22","ACTN4",79,0.00167155586698176,0.378833812043335,0.655744010179263,3.69214594012813e-06,-0.391188410178886,164.583869230185,3.40873815839954e-08,0.770022222222222,118,0.283748512069118,0.0832597744483722,0.799611485546584,0.0124734303364463,-0.298049076158427,-0.678177070286804,0.00416849512178733,0.381308850606799,"Buffering","Scaling","Scaling","Scaling","O43707","Buffering","Scaling","Buffering","ACTN4..81.",0.891919485,0.11250063,0.922224808,0.944414891,0.960325366,"19q","O43707",19,"O43707",7,"O43707",72,"O43707",33,NA,0,"O43707",5,"O43707",5,42,103,145,-3.151995016,3.360855514,"ACTN4",0.013513514,"ENSG00000130402",2.308293324,1.092213934,2.865199624,2.959518377,4.923834423,6.461629307,150.2639,NA,16,43,NA,NA,733,0.121,"actn4_human","0.22",-0.002417857,NA,NA,NA,"ACTN4",20,"ACTN4",1,"ACTN4",15
"23","ACTN4",79,0.00167155586698176,0.378833812043335,0.655744010179263,3.69214594012813e-06,-0.391188410178886,164.583869230185,3.40873815839954e-08,0.770022222222222,118,0.283748512069118,0.0832597744483722,0.799611485546584,0.0124734303364463,-0.298049076158427,-0.678177070286804,0.00416849512178733,0.381308850606799,"Buffering","Scaling","Scaling","Scaling","H7C144","Buffering","Scaling","Scaling","ACTN4..81.",0.891919485,0.11250063,0.922224808,0.944414891,0.960325366,"19q",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,42,103,145,-3.151995016,4.556305596,"ACTN4",0.013513514,"ENSG00000130402",2.308293324,1.092213934,2.865199624,2.959518377,4.923834423,6.461629307,150.2639,NA,NA,17,NA,NA,305,NA,"actn4_human","0.22",-0.002417857,NA,NA,NA,"ACTN4",20,"ACTN4",1,"ACTN4",15
"24","ACTR1B",82,0.000255567215342992,0.273596506734007,0.996470495770906,0.633207067957285,-0.0603005303030303,-4.56832947936247,0.0203370403308238,0.333897037037037,121,0.0335357886252767,0.179503657702112,0.342910896231698,0.20105804635611,-0.101317215656148,-0.674706396165073,0.0111447089023479,0.28082087335826,"Buffering","Buffering","Scaling","Buffering","P42025","Buffering","Buffering","Buffering","ACTR1B..10120.",0.293900318,0.058057998,0.295928449,0.54212574,0.54399306,"2q","P42025",1,"P42025",1,"P42025",9,"P42025",6,NA,0,NA,0,NA,0,20,33,53,-4.106361365,4.064352989,"ACTR1B",0.002702703,"ENSG00000115073",0.992658124,-0.223421266,2.65622387,2.575187845,3.910891089,4.937018352,196.4103333,NA,NA,NA,NA,NA,367,0.017,"acty_human","-0.29",-0.579229921,NA,NA,NA,"ACTR1B",11,"ACTR1B",1,"ACTR1B",6
"25","ACTR3",84,0.636294612910253,-0.0439803556397306,1.15537013646735,0.153268392223911,-0.204605170454545,2.92686488320789,0.323653600221613,0.160624814814815,123,0.300834592635932,-0.0502681213507634,3.20144620234263,0.392483797650891,-0.0462703344809123,2.25847536268209,0.950960428893012,-0.00399778686985112,"Buffering","Buffering","Buffering","Buffering","P61158","Buffering","Buffering","Buffering","ACTR3..10096.",0.510243891,0.067230577,0.491491374,0.714313581,0.701064458,"2q","P61158",6,NA,0,"P61158",22,"P61158",21,"P61158",1,NA,0,"P61158",2,29,68,97,-3.894738662,6.642236722,"ACTR3",0.002702703,"ENSG00000115091",1.985612802,0.769533412,3.203472489,2.621176282,4.861157899,6.477221649,242.6219,NA,NA,NA,NA,NA,405,0.05,"arp3_human","-0.29",-0.521051141,NA,NA,NA,"ACTR3",7,NA,0,"ACTR3",5
"26","ADAMTSL1",98,0.99215336466949,-0.000896587573124608,-0.502794454340415,0.727887324406866,0.0230105924503534,-0.440631431453007,0.793660685881611,-0.023907180023478,144,0.688209430232828,-0.0850796732791061,41.8101635725329,0.361856987433535,-0.167976911722538,-8.57363945278254,0.708179569947545,0.0828972384434318,"Buffering","Buffering","Buffering","Buffering","Q8N6G6","Buffering","Anti-Scaling","Buffering","ADAMTSL1..92949.",2.199319499,3.030957384,1.959802189,1.483010283,1.399929352,"9p",NA,0,NA,0,"Q8N6G6",21,NA,0,NA,0,NA,0,NA,0,7,0,7,1.599773568,3.293166265,"ADAMTSL1",0.010810811,NA,NA,NA,NA,NA,NA,NA,NA,45,30,114,32,NA,1039,NA,"atl1_human","-",-0.059697357,NA,NA,NA,"ADAMTSL1",66,"ADAMTSL1",12,"ADAMTSL1",25
"27","ADARB1",99,0.300054551773555,0.0880855122784541,-0.271451730302248,2.19695286921809e-08,-0.371968004962925,-0.211995047354368,3.00686412649096e-06,0.460053517241379,148,0.437891214463905,-0.152095548112434,-6.18581427814726,0.361547941616436,-0.0726571855941558,6.70625891646041,0.689380725696433,-0.0794383625182783,"Anti-Scaling","Buffering","Buffering","Scaling","P78563","Scaling","Buffering","Scaling","ADARB1..104.",0.963956737,0.317303362,1.133784999,0.981812985,1.064793407,"21q",NA,0,"P78563",1,"P78563",19,"P78563",2,"P78563",1,"P78563",3,NA,0,16,47,63,-1.656065289,2.923257069,"ADARB1",0.008108108,"ENSG00000197381",1.111724428,-0.104354963,2.085261834,2.869818208,5.181730714,4.485122619,132.14775,112,93,148,42,NA,475,0.15,"red1_human","-",-0.005575811,NA,NA,NA,"ADARB1",25,"ADARB1",1,"ADARB1",15
"28","ADD1",103,0.00034141878653174,0.261791623565781,0.250128515604817,3.00214879470089e-16,-0.30762309556064,-0.978747404200755,1.61279257447759e-10,0.569414719126421,152,0.0525776506100522,0.149324005565523,0.291164442342837,0.458039701810874,0.0378944199777918,1.86445161665953,0.155611070998203,0.111429585587731,"Buffering","Buffering","Scaling","Scaling","P35611-3","Scaling","Buffering","Buffering","ADD1..118.",0.280678814,0.045916277,0.349858206,0.529791293,0.591488128,"4p",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,23,38,61,-4.444850521,2.651997963,"ADD1",0,"ENSG00000087274",1.282099341,0.066019951,3.27139303,2.867467488,4.877584409,5.841628729,70.335,NA,NA,NA,NA,NA,NA,NA,"adda_human","-",0.102367687,NA,NA,NA,"ADD1",20,NA,0,"ADD1",16
